Question,Answer
"
Что входит в абонемент?
","

посещение всех зон клуба без ограничений
групповые занятия 
исследование состава тела
мобильное приложение с библиотекой программ и упражнений
персональный браслет
шкаф в раздевалке
сейфовая ячейка

"
"
Есть ли ограничения по времени и количеству посещений?
","

	 Нет, абонемент без ограничений по времени и количеству посещений.

"
"
С какого возраста можно посещать клуб?
","
Членом клуба можно стать с 14-ти лет.
"
"
Сколько стоит абонемент?
","

	 В клубе действует система помесячной и единовременной оплаты услуг. Подробная информация в разделе «Абонемент».

"
"
Какой срок действия ""заморозки""?
","
Чтобы приостановить действие абонемента, необходимо воспользоваться услугой ""заморозка"".
Заморозку можно приобрести на 30 или 90 дней. Если во время ""заморозки"" вы посетите клуб, абонемент возобновляется и ""заморозка"" больше не действует.  Например, вы оплатили ""заморозку"" и воспользовались услугой только в течение 10 дней, а затем посетили фитнес-клуб. В этом случае оставшиеся дни ""заморозки"" сгорают.  Услугой можно воспользоваться повторно неограниченное количество раз. 

"
"
Как оформить  молодежный тариф?
","
Приобрести абонемент по молодежному тарифу можно через сайт.
Заходите в раздел ""Абонементы"" - ""Молодежный тариф"" - ""Выбор клуба"".
Для получения браслета, необходимо подтвердить возраст:  от 14 до 21 года. 

"
"
На какие формы обучения действует студенческий тариф?
","
Студенческий тариф действует на все формы обучения.
"
"
Могу ли я посещать несколько клубов? 
","
Для посещения 2-х и более клубов сети на постоянной основе, необходимо воспользоваться услугой «Со-доступ» или приобрести ""Сетевой абонемент"". Единовременный платёж за услугу со-доступа в каждый клуб составляет от 1500₽ до 3500₽, в зависимости от категории клуба. Ежемесячный платеж осуществляется по тарифу более дорогого клуба. После осуществления платежа, «со-доступ» предоставляется на весь срок действия основного контракта. 
Член клуба может 1 раз бесплатно посетить любой клуб сети. 
При возобновлении контракта, услуга повторно не предоставляется.
"
"
Что такое сетевой абонемент?
","
Сетевой абонемент – вид абонемента, доступ по которому предоставляется во все клубы сети, официально открытые и оказывающие услуги на дату покупки абонемента.
"
"
Как оплатить абонемент?
","
Оплатить абонемент можно онлайн на сайте, через мобильное приложение Spirit. fitness или при посещении клуба. Первый платеж производится в момент заключения Контракта,  последующие платежи производятся ежемесячно, путем списания денежных средств, со счета банковской карты.
"
"
Когда начнет действовать абонемент?
","
Абонемент активируется с даты оплаты услуг.
"
"
Как приостановить «заморозить» срок действия абонемента?
","
Срок действия абонемента  можно приостановить, подключив услугу «заморозка» в мобильном приложении Spirit. Fitness, либо написав на электронную почту вашего клуба, указав ваши контактные данные.  Максимальный срок «заморозки» - 90 дней. Услугой можно воспользоваться неограниченное количество раз. 
"
"
Как осуществляется доступ в клуб по абонементу?
","
Доступ в клуб осуществляется только с помощью персонального браслета члена клуба.
"
"
Когда можно получить браслет?
","
Браслет можно получить в клубе, сразу после оплаты абонемента, при предъявлении паспорта в часы работы консультантов клуба на рецепции с 9 утра до 22 часов ежедневно.
"
"
Можно ли попасть в клуб без браслета?
","
Посещение клуба без браслета невозможно.
"
"
Можно ли переоформить абонемент?
","
Переоформление абонемента невозможно.
"
"
Публичная Оферта и Правила посещения клуба
","
Перед покупкой абонемента внимательно прочитайте текст Оферты и ознакомьтесь с Правилами посещения клуба.
"
"
Как осуществляются платежи?
","
Оплата осуществляются через процессинговый центр CloudPayments. CloudPayments – многопрофильный процессинговый центр для обработки  платежей по банковским картам международных платежных систем Visa и MasterCard, а также по картам национальной платежной системы МИР.
"
"
Безопасны платежи онлайн банковской картой?
","
Процессинговый центр CloudPayments защищает и обрабатывает данные Вашей банковской карты по стандарту безопасности PCI DSS 3.0. Передача информации в платежный шлюз происходит с применением технологии шифрования SSL. Дальнейшая передача информации происходит по закрытым банковским сетям, имеющим наивысший уровень надежности. CloudPayments не передает данные Вашей карты нам и иным третьим лицам. Для дополнительной аутентификации держателя карты используется протокол 3D Secure.
"
"
Как происходит оплата?
","
Оплата стоимости услуг производится ежемесячно на условиях предоплаты.
Оплата первого месяца производится в момент  заключения Контракта. Оплата второго и последующих месяцев производится путем ежемесячного списания денежных средств со счета банковской карты.

"
"
Можно ли выбрать дату оплаты?
","
Датой ежемесячного платежа является дата покупки абонемента. Автоматическое списание будет осуществляться ежемесячно в один и тот же день, в зависимости от даты активации абонемента.
"
"
Что будет, если платеж за следующий месяц не будет осуществлен?
","
В данном случае доступ в клуб будет приостановлен. Если оплата не поступает в течение 3 дней, то персональная скидка уменьшается до 40% за текущий месяц. Если оплата не поступает в течение 10 дней, то контракт будет автоматически расторгнут. При расторжении контракта скидка аннулируется, при возобновлении 1-й месяц оплачивается по базовой стоимости.


"
"
Можно ли перенести дату платежа?
","
Дата платежа по контракту не меняется, за исключением использования услуги «Заморозка». 
"
"
Можно ли оплатить сразу за год?
","
Есть возможность оформить абонемент по предоплате на 12 месяцев. Стоимость месяца при единовременной оплате выгоднее. Подробная информация в разделе «Абонемент».
"
"
Можно ли оплатить год  в рассрочку?
","
Можно оплачивать услуги клуба помесячно или, при единовременной оплате за год, воспользоваться скидкой.
"
"
Как расторгнуть контракт?
","
Для расторжения контракта, необходимо обратиться с письменным заявлением к сотрудникам клуба.
"
"
Какие зоны клуба доступны для посещения?
","
Кардио-зона, тренажерный зал, зона функционального тренинга, боевых искусств доступны для самостоятельных и персональных тренировок, зал групповых программ в соответствии с расписанием.
"
"
Есть ли вводный инструктаж с тренером?
","
Все члены клуба могут пройти часовой вводный инструктаж. Услуга предоставляется бесплатно, по предварительной записи и включает: 
 - исследование состава тела InBody и расшифровка результатов
 - фитнес-тест силовой нагрузки
 - фитнес-тест функциональной нагрузки
 - инструктаж по работе кардио-тренажера
 - демонстрация настройки тренажеров
 - рекомендации по выбору оборудования
 - рекомендация режима тренировок и первой программы тренировок.
Услугой можно воспользоваться один раз.
"
"
Что такое тестирование состава тела?
","
Тестирование состава тела с помощью INBODY-570 – бесплатная услуга для всех членов клуба, позволяющая определить следующие показатели:
- жировая масса;
- безжировая (костно-мышечная) масса;
- активная клеточная масса;
- процент содержания жира в организме;
- индекс массы тела;
- количество внутриклеточной, внеклеточной, общей жидкости;
- уровень основного обмена веществ.
Услугой можно воспользоваться не ограниченное количество раз.

"
"
Сколько стоит персональная тренировка с тренером?
","
Стоимость тренировок от 2000 рублей, это зависит от категории тренера и количества тренировок в блоке. 
"
"
Что такое групповые тренировки?
","
Силовые, аэробные, высокоинтенсивные интервальные тренировки, танцевальные классы и йога проводятся в удобное время, с учетом разных потребностей членов клубов. Более 160 уроков в месяц в удобном, сбалансированном расписании. Все групповые тренировки включены в стоимость абонемента.
"
"
Что такое «Стартовый блок» тренировок? 
","
Стартовый блок из 5 тренировок на специальных условиях – от 6 000 рублей.
Услугой можно воспользоваться один раз.

"
"
Как подобрать групповое занятие соответствующее уровню подготовки?
","
Групповые уроки Les Mills подходят для любого уровня подготовки. 
"
"
Нужно ли записываться на групповые занятия?
","
Вы можете прийти на любое групповое занятие, которое проходит по расписанию.
"
"
Возможности приложения
","
1. Личный кабинет - оплата абонемента в один клик, настройка автоплатежа, использование «заморозки».
 2. Расписание тренировок - удобный доступ к расписанию клуба и планирование своего персонального расписания
 3. Программы тренировок - готовые программы тренировок по направлениям: жиросжигание, выносливость, силовая выносливость, сила.
 4. Библиотека упражнений - более 150 силовых и функциональных упражнений для составления собственных программ
5.	Дневник тренировок - сохранение всех тренировок, контроль изменения всех показателей
"
"
Как получить доступ к программам тренировок?
","
Программы тренировок доступны только для членов клуба. Для получения доступа к программам тренировок, в соответствии с уровнем подготовки, необходимо пройти тестирование состава тела и фитнес-тесты, используя приложение.
"
"
Что такое тестирование состава тела?
","
Тестирование состава тела с помощью INBODY-570 позволяет определить следующие показатели: 
- жировая масса;
- безжировая (костно-мышечная) масса;
- процент содержания жира в организме;
- индекс массы тела;
- количество внутриклеточной, внеклеточной, общей жидкости;
- уровень основного обмена веществ.
Тестирование можно провести самостоятельно или обратиться к консультантам клуба, дежурному тренеру, предварительная запись не требуется. 

"
"
Как часто нужно делать тестирование состава тела? 
","
Рекомендовано проводить тестирование на регулярной основе один раз в 1-2 месяца, в зависимости от интенсивности тренировок.
Для проведения тестирования необходимо обратиться к консультантам клуба или дежурному тренеру, предварительная запись не требуется. Повторные тестирования вы можете пройти самостоятельно.

"
"
Как пройти тестирование, используя приложение?
","
Выберите «Пройти тест», «Пройти тест заново», введите персональный код на анализаторе и пройдите тестирование.
"
"
Что такое фитнес-тесты?
","
Фитнес-тесты - упражнения для оценки физического состояния в условиях различной нагрузки, которые позволяют, в сочетании с данными исследования состава тела, определить уровень физической подготовки по сегментам тела и подобрать максимально эффективную и безопасную программу тренировок. Фитнес-тесты включают в себя силовые и функциональные упражнения и открывают доступ к программам тренировок, в соответствии с вашим уровнем подготовки. 
"
"
Как пройти фитнес-тесты и подобрать программу тренировок?
","
Фитнес-тесты можно пройти самостоятельно или обратиться к дежурному тренеру клуба для проведения инструктажа. 30-ти минутный вводный инструктаж с тренером клуба предоставляется бесплатно, необходима предварительная запись. Включает:
- исследование состава тела InBody и расшифровка результатов
- фитнес-тест силовой нагрузки
- фитнес-тест функциональной нагрузки
- инструктаж по работе кардио-тренажера
- демонстрация настройки тренажеров
- рекомендации по выбору оборудования
- рекомендация режима тренировок и первой программы тренировок.

"
"
Из чего состоит фитнес-тест?
","
3 силовых упражнений: тяга верхнего блока, жим ногами сидя, жим от груди;
3 функциональных упражнений: подъем ног в висе, приседание у стены, отжимание «волной».

"
"
Как пройти фитнес-тесты, используя приложение?
","
Выберите «Пройти тест», «Пройти тест заново», ознакомьтесь с описанием и целью упражнения, ознакомьтесь с видео-инструкцией, выполните упражнение, введите кол-во повторов, нажмите «Сделано».
"
"
Как определяется уровень подготовки?
","
Уровень подготовки определяется по совокупной оценке результатов тестирования состава тела по следующим показателям: общая оценка InBody,  содержание жира в теле, %, масса скелетной мускулатуры, кг и результатам выполнения упражнений (количество повторений).
"
"
Какие есть уровни подготовки и чем отличаются тренировки?
","
Начальный, средний и продвинутый. Тренировки для каждого уровня отличаются набором упражнений, используемым оборудованием, количеством повторений и подходов, а также рабочим весом. 

Также по результатам исследования состава тела и фитнес-тестов мы можем порекомендовать вам только тренировки с тренером, это значит, что показатели состава тела, силовые или функциональные – ниже нормы, тренироваться самостоятельно может быть не безопасно, воспользуйтесь вводным инструктажем и услугой «Стартовый блок 5 тренировок».
"
"
Как получить доступ к тренировкам другого уровня?
","
Усердно тренироваться, соблюдать рекомендации, регулярно обновлять данные тестов. 
"
"
Повторяются ли тренировки?
","
Все тренировки уникальные и не дублируются внутри библиотеки одного уровня. Для «Среднего» уровня доступны самые сложные тренировки «Начального» уровня, но с другими весовыми, временными и количественными показателями, также для «Продвинутого» уровня доступны тренировки «Среднего» уровня.
"
"
Что такое библиотека тренировок?
","
Готовые программы тренировок, соответствующие уровню подготовки пользователя. Выбрав и начав тренировку, пользователь может изменить следующие показатели: количество повторов, вес, время выполнения упражнения, время отдыха, добавить подходы. По окончанию тренировки, она сохраняется в библиотеке «Мои тренировки» с персональными показателями.
"
"
Чем отличаются мужские и женские тренировки?
","
Все тренировки в библиотеке подходят для мужчин и женщин, специальные тренировки отмечены в библиотеке, например, «Функциональная тренировка для женщин».
"
"
Как определяется рабочий вес в силовых тренировках?
","
Рекомендованный рабочий вес определяется в % соотношении к собственному весу, с учетом мышечных групп, режима тренировок и упражнений. Если вам легко или наоборот тяжело выполнять упражнение, внесите изменения в тренировку. Она сохранится в библиотеке «Мои тренировки» уже с вашими индивидуальными показателями.
"
"
Можно ли выполнить тренировку частично или выполнить упражнения в другом порядке?
","
Мы рекомендуем выполнять все упражнения в определенном порядке, если вы хотите заменить упражнение – добавьте его из библиотеки и сохраните тренировку.
"
"
Как создать свою тренировку?
","
В конце списка тренировок нажмите «Хочу просто потренироваться», выберите интересующие вас группы мышц, добавьте упражнения и измените весовые, количественные и временные показатели. После окончания, тренировка сохранится в библиотеке «Мои тренировки».
"
"
Как часто нужно тренироваться?
","
Рекомендации по количеству, видам и продолжительности тренировок даны в описании режимов, в соответствии с целями. Для подробной консультации необходимо обратиться к тренерам клуба.
"
"
Как рассчитывается продолжительность тренировки?
","
В описании тренировки указана рекомендуемая продолжительность тренировки. По окончанию тренировки приложение рассчитает фактически затраченное время.
"
"
Как рассчитывается расход калорий тренировки?
","
Расход калорий определен датчиком Polar, исходя из расчета затрат на 1 подход каждого упражнения. Данные могут незначительно отличаться с учетом индивидуальных особенностей.
"
"
Можно ли тренироваться по программам, если есть противопоказания к тренировкам или проблемы со здоровьем?
","
Программы тренировок любого уровня рекомендованы для абсолютно здорового человека, не имеющего проблем со здоровьем и противопоказаний к тренировкам.
"
